"Дата";"Регион";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
02.03.2020;Московская обл.;1;0;0;0;1;0
03.03.2020;Московская обл.;1;0;0;0;0;0
04.03.2020;Московская обл.;1;0;0;0;0;0
05.03.2020;Московская обл.;1;0;0;0;0;0
06.03.2020;Москва;5;0;0;0;5;0
06.03.2020;Московская обл.;1;0;0;0;0;0
06.03.2020;Нижегородская обл.;1;0;0;0;1;0
07.03.2020;Липецкая обл.;3;0;0;0;3;0
07.03.2020;Москва;5;0;0;0;0;0
07.03.2020;Московская обл.;1;0;0;0;0;0
07.03.2020;Нижегородская обл.;1;0;0;0;0;0
07.03.2020;Санкт-Петербург;1;0;0;0;1;0
08.03.2020;Белгородская обл.;1;0;0;0;1;0
08.03.2020;Калининградская обл.;1;0;0;0;1;0
08.03.2020;Липецкая обл.;3;0;0;0;0;0
08.03.2020;Москва;5;0;0;0;0;0
08.03.2020;Московская обл.;2;0;0;0;1;0
08.03.2020;Нижегородская обл.;1;0;0;0;0;0
08.03.2020;Санкт-Петербург;1;0;0;0;0;0
09.03.2020;Белгородская обл.;1;0;0;0;0;0
09.03.2020;Калининградская обл.;1;0;0;0;0;0
09.03.2020;Липецкая обл.;3;0;0;0;0;0
09.03.2020;Москва;8;0;0;0;3;0
09.03.2020;Московская обл.;2;0;0;0;0;0
09.03.2020;Нижегородская обл.;1;0;0;0;0;0
09.03.2020;Санкт-Петербург;1;0;0;0;0;0
10.03.2020;Белгородская обл.;1;0;0;0;0;0
10.03.2020;Калининградская обл.;1;0;0;0;0;0
10.03.2020;Липецкая обл.;3;0;0;0;0;0
10.03.2020;Москва;11;0;0;0;3;0
10.03.2020;Московская обл.;2;0;0;0;0;0
10.03.2020;Нижегородская обл.;1;0;0;0;0;0
10.03.2020;Санкт-Петербург;1;0;0;0;0;0
11.03.2020;Белгородская обл.;1;0;0;0;0;0
11.03.2020;Калининградская обл.;1;0;0;0;0;0
11.03.2020;Липецкая обл.;3;0;0;0;0;0
11.03.2020;Москва;17;0;0;0;6;0
11.03.2020;Московская обл.;4;0;0;0;2;0
11.03.2020;Нижегородская обл.;1;0;0;0;0;0
11.03.2020;Санкт-Петербург;1;0;0;0;0;0
12.03.2020;Адыгея;0;0;0;0;0;0
12.03.2020;Алтайский край;0;0;0;0;0;0
12.03.2020;Амурская обл.;0;0;0;0;0;0
12.03.2020;Архангельская обл.;0;0;0;0;0;0
12.03.2020;Астраханская обл.;0;0;0;0;0;0
12.03.2020;Башкортостан;0;0;0;0;0;0
12.03.2020;Белгородская обл.;1;0;0;0;0;0
12.03.2020;Брянская обл.;0;0;0;0;0;0
12.03.2020;Бурятия;0;0;0;0;0;0
12.03.2020;Владимирская обл.;0;0;0;0;0;0
12.03.2020;Волгоградская обл.;0;0;0;0;0;0
12.03.2020;Вологодская обл.;0;0;0;0;0;0
12.03.2020;Воронежская обл.;0;0;0;0;0;0
